,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('5_campaign', 0.5, 3)",0.0022134780883789062,0.26651835441589355,0.0013017654418945312,0.0327298641204834,0.002570629119873047,0.0013914108276367188,0.041121721267700195,0.019007205963134766,0.09549617767333984
"('5_campaign', 0.75, 1)",0.002246856689453125,0.32771849632263184,0.0013968944549560547,0.03612804412841797,0.002323627471923828,0.001554727554321289,0.04971623420715332,0.14017343521118164,0.08190655708312988
"('5_campaign', 0.75, 2)",0.0026290416717529297,0.3157508373260498,0.0037810802459716797,0.03504133224487305,0.0020225048065185547,0.0016169548034667969,0.04105710983276367,0.020916223526000977,0.10920023918151855
"('5_campaign', 0.75, 3)",0.0026564598083496094,0.31801557540893555,0.0013833045959472656,0.034227848052978516,0.002137899398803711,0.0014803409576416016,0.044873952865600586,0.023558855056762695,0.09794139862060547
"('5_campaign', 1.0, 1)",0.0021734237670898438,0.36461687088012695,0.0013332366943359375,0.03868222236633301,0.0023984909057617188,0.0013594627380371094,0.0441889762878418,0.02128148078918457,0.08617329597473145
"('5_campaign', 1.0, 2)",0.0020971298217773438,0.3422539234161377,0.002554178237915039,0.03579354286193848,0.0021758079528808594,0.0014455318450927734,0.04040217399597168,0.018664121627807617,0.09363675117492676
"('5_campaign', 1.0, 3)",0.0024576187133789062,0.3431980609893799,0.0015599727630615234,0.03649497032165527,0.0021474361419677734,0.0014736652374267578,0.04082345962524414,0.029404878616333008,0.1022195816040039
"('3_backdoor', 0.0, 1)",,,0.0021865367889404297,,0.0011706352233886719,,,,
"('3_backdoor', 0.0, 2)",,,0.0019545555114746094,,0.001033782958984375,,,,
"('3_backdoor', 0.0, 3)",,,0.003665924072265625,,0.0012803077697753906,,,,
"('3_backdoor', 0.01, 1)",0.0058138370513916016,0.02737140655517578,0.0020258426666259766,0.013607263565063477,0.0025212764739990234,0.0014851093292236328,0.11953997611999512,0.016874313354492188,0.22402167320251465
"('3_backdoor', 0.01, 2)",0.0061283111572265625,0.02981710433959961,0.003929853439331055,0.013792037963867188,0.0017459392547607422,0.0011899471282958984,0.15405774116516113,0.01795816421508789,0.21509861946105957
"('3_backdoor', 0.01, 3)",0.004931449890136719,0.03192472457885742,0.00231170654296875,0.014640331268310547,0.0018913745880126953,0.0011053085327148438,0.11733102798461914,0.020411252975463867,0.21605253219604492
"('3_backdoor', 0.05, 1)",0.005960941314697266,0.031777381896972656,0.00426173210144043,0.01755690574645996,0.002438068389892578,0.0016608238220214844,0.11758065223693848,0.017594337463378906,0.22437191009521484
"('3_backdoor', 0.05, 2)",0.0048503875732421875,0.030726909637451172,0.0020072460174560547,0.017331361770629883,0.0025458335876464844,0.0013539791107177734,0.1184840202331543,0.01975226402282715,0.21336126327514648
"('3_backdoor', 0.05, 3)",0.005303144454956055,0.03357505798339844,0.002171039581298828,0.016283035278320312,0.0023293495178222656,0.001428365707397461,0.19950461387634277,0.027255535125732422,0.2151634693145752
"('3_backdoor', 0.1, 1)",0.006376743316650391,0.03664731979370117,0.0018916130065917969,0.01842498779296875,0.002141714096069336,0.0014400482177734375,0.11706924438476562,0.020042896270751953,0.20856094360351562
"('3_backdoor', 0.1, 2)",0.004848957061767578,0.04926252365112305,0.002021312713623047,0.020014286041259766,0.0026688575744628906,0.0015642642974853516,0.1280064582824707,0.019467830657958984,0.22764325141906738
"('3_backdoor', 0.1, 3)",0.007491111755371094,0.0484776496887207,0.0026481151580810547,0.02004718780517578,0.0024373531341552734,0.0013966560363769531,0.12636947631835938,0.02181720733642578,0.2121715545654297
"('3_backdoor', 0.25, 1)",0.0066814422607421875,0.07663512229919434,0.0018699169158935547,0.02554631233215332,0.0029408931732177734,0.0017278194427490234,0.12227892875671387,0.018678665161132812,0.22502446174621582
"('3_backdoor', 0.25, 2)",0.00576472282409668,0.10096979141235352,0.002405405044555664,0.023479461669921875,0.002173185348510742,0.0015337467193603516,0.11942791938781738,0.01864171028137207,0.21916842460632324
"('3_backdoor', 0.25, 3)",0.0057086944580078125,0.07860541343688965,0.002499103546142578,0.022508621215820312,0.001956939697265625,0.001504659652709961,0.12846994400024414,0.017727136611938477,0.22334957122802734
"('3_backdoor', 0.5, 1)",0.005221843719482422,0.16051864624023438,0.0025370121002197266,0.03011488914489746,0.002290010452270508,0.001764535903930664,0.13268446922302246,0.01881551742553711,0.2150275707244873
"('3_backdoor', 0.5, 2)",0.005788564682006836,0.10626506805419922,0.0020537376403808594,0.02217268943786621,0.002219676971435547,0.0016112327575683594,0.15551090240478516,0.02306056022644043,0.22249984741210938
"('3_backdoor', 0.5, 3)",0.005537271499633789,0.11869621276855469,0.00212860107421875,0.021516799926757812,0.002106904983520508,0.0018453598022460938,0.11700582504272461,0.025447368621826172,0.21583127975463867
"('3_backdoor', 0.75, 1)",0.005239009857177734,0.08927702903747559,0.0018553733825683594,0.022931575775146484,0.0026323795318603516,0.001438140869140625,0.12663626670837402,0.01870274543762207,0.22899079322814941
"('3_backdoor', 0.75, 2)",0.006705522537231445,0.09734010696411133,0.002164125442504883,0.023395061492919922,0.002446413040161133,0.0018341541290283203,0.1344163417816162,0.07868576049804688,0.2397308349609375
"('3_backdoor', 0.75, 3)",0.00511479377746582,0.08467698097229004,0.0020627975463867188,0.02752518653869629,0.002274751663208008,0.0015289783477783203,0.14242291450500488,0.01664257049560547,0.2154386043548584
"('3_backdoor', 1.0, 1)",0.004921436309814453,0.10501360893249512,0.002133607864379883,0.022889137268066406,0.0019631385803222656,0.0013308525085449219,0.11924314498901367,0.020153284072875977,0.21863627433776855
"('3_backdoor', 1.0, 2)",0.005678653717041016,0.08313250541687012,0.0020377635955810547,0.022114038467407227,0.0022592544555664062,0.0014600753784179688,0.16778302192687988,0.02050495147705078,0.20515704154968262
"('3_backdoor', 1.0, 3)",0.005399465560913086,0.0787510871887207,0.0019593238830566406,0.02139592170715332,0.002126932144165039,0.0014379024505615234,0.17519736289978027,0.020247459411621094,0.20988178253173828
